Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
F_Britrebrua  26 fra   L 19  4  3  4 42 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Ebtenye     20 jap   C 18  4  4  3 45 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Ertockub    27 usa   L 15  3  5  4 73 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Dewrtadi    22 nor  LC  5 18 12  9 51 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Ryoejiv     23 nor   C  3 18  6  7 44 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Ugaksop     23 bra   C  4 15  8  8 61 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Jhidoind    26 ger RLC  3 15  9  8 71 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Krewl       21 aus   R  5 15  9  7 73 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Ifetr       25 ger   L  4 15 12  7 67 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Enyovr      25 ger   R  4 15 13  8 50 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Gobteti     25 saf  LC  3 13  9  9 26 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Jhoosy      17 saf   L  4 13 15 12 45 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Uksujo      23 aus  RL  5 12  9  8 73 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Ryaclua     20 ita   C  4 11  9  9 50 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Epadno      25 usa  RL  5 10 18  7 72 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Odsuvr      24 arg   L  4 11 16  9 56 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Joeli       26 bul  LC  5  9 15  9 30 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Cowz        26 den   R  5  9 15  7 53 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Drodroehu   29 fra   C  3  9 15 10 54 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Kroogew     25 spa   R  5  7 15  7 50 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Groy        27 cam  RC  5  7 14  7 29 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Odnoez      17 saf   R  4  8 13 11 62 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Adrudse     21 ita   L  5  9 10 12 72 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Osoryik     23 spa   L  4 12  9 11 51 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Feclownyo   23 usa   L  4 10  9 14 59 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Satr        29 nig   R  3  9 11 18 55 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Abro        24 cro   R  4  8 12 16 58 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Ryony       29 aus   R  3  9  8 15 46 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Oyosht      18 spa  LC  5  9  9 13 48 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Jhobtunyu   23 cro  RL  5  8  8 12 49 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

