Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
Q_Ekroisy     22 fra  RL 15  3  5  4 47 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Esyu        21 fra  LC 13  4  3  4 58 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Mikra       26 den   R 11  4  4  5 65 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Ablewdro    25 jap   L  3 19  9 10 31 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Ishtasht    18 den   L  5 18  9 11 48 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Niny        23 usa   L  4 17  8 11 49 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Iskojhu     25 arg   R  3 16 10  9 74 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Btarsuckoo  23 usa  LC  4 14  9  6 50 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Obtoaks     28 isr   R  3 13 11  8 54 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Ogrurt      18 aus  LC  4 13 10  9 36 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Atyu        19 isr   R  4 13 12  9 53 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Nejhecl     22 den   C  5 11 10  8 62 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Ublema      29 ita   C  3 10 12  8 51 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Jhoatroch   29 hol RLC  4 10 15  7 59 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Besy        26 den   L  4 10 19  7 55 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Krooshtaet  23 isr   R  5 12 17  7 58 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Toivrobt    21 spa   L  4  9 15  9 62 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Prayoosk    22 jap   C  5  7 15  6 66 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Ertevrirs   25 bra   C  3 11 15  9 63 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Tot         26 saf   C  4 12 14  6 30 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Ifeyo       20 usa   C  4 10 14  6 59 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Asanyivr    19 aus   C  4 10 13  6 61 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Itretroh    27 bra   C  4  9 13  9 32 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Ipa         23 fra   R  4 12 13  9 73 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Idsask      23 ire   R  4  9 13 12 48 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Asoindebs   26 arg   R  3 12  9 16 37 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Btuavrurae  18 nig  LC  4  9  7 14 44 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Clockoavri  25 fra  LC  5 11  7 14 67 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Uhacka      27 aus   L  4  9  6 12 31 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Endovr      29 usa   R  4  6  6 11 31 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

