Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
C_Karsojo     21 nor   C 19  5  5  4 65 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Idoigrew    19 nig   C 19  4  4  4 54 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Andert      25 spa   C 15  4  3  4 52 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
F_Igerstoe    24 eng   C  4 19  6  9 51 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Jewrtars    23 jap   R  3 17  6 10 62 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Ashikre     21 ita  LC  3 17  9  9 70 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Oryovr      18 hol   R  5 17 11 12 28 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Udsaksoi    26 saf   R  4 15 11 11 71 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Obta        19 bul   R  4 15 12 10 64 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Kibroose    23 eng   C  4 15  6  7 32 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Jaebr       23 ger   R  3 12 12  7 41 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Dribope     22 ita   C  3 11  9  9 53 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Druble      29 eng   L  3 10 12  6 63 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Ashuam      27 cam   R  4  9 13  6 55 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
J_Apaz        23 nor   C  4  9 18  6 33 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Irstuty     25 ita  RL  4 12 17  6 42 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Krarua      20 arg   C  3  9 17  7 39 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Clomnetro   26 hol   C  5 12 15 10 65 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Afa         25 eng   C  4  8 15 12 34 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Hogru       26 eng  RC  3 11 15  9 50 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Foondo      23 bra   L  4  6 14  9 31 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Okoshtua    23 arg   R  3  7 14 12 49 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Ovape       28 usa   C  4  6 13 13 74 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Kart        27 spa   C  5 11 12  6 40 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Cluvrask    26 hol   L  3  7 10 12 40 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Drortilo    26 bra   C  4 10 11 18 69 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Tyaekuvr    18 spa   C  5  6  8 17 55 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Yual        20 hol RLC  3 10  6 17 26 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Juasyanye   29 usa   C  4  8  7 14 40 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Ackubso     29 usa   R  4  8 11 13 55 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

