Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
V_Ashtu       27 saf   C 19  3  4  4 61 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Oclukridn   18 isr   R 15  5  3  3 65 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Ryind       29 den   L 15  5  3  4 61 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Meclo       19 spa   R  3 19  9  9 54 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Nublivro    23 usa  RC  4 18 12  6 65 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Uvow        19 isr   C  5 18  9  9 43 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Jhashednae  26 saf  RL  3 18 11  7 43 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Iclevradn   26 fra   R  4 15 12  9 27 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
I_Hiks        20 den   R  5 14  6  9 46 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Z_Ivabtu      22 bra   C  3 13 12 10 54 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_God         26 aus  LC  4 12  9 11 66 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Ijart       17 ita   C  3 12  9  8 52 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Iduavrua    26 ger   C  4 12 11  9 50 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Voatyekr    20 cam  RL  5 11 15  9 65 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
X_Etowbrowtr  29 bul   C  3 10 19  9 30 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Ushavr      23 ire   C  5  9 17  8 72 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Ubsaerst    25 isr   R  5  6 16  9 49 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Unyiryua    21 cro   C  5  8 15  9 62 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Hanewbs     18 fra   C  5  9 14 12 28 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Urstonhat   27 aus  RC  5 11 14  7 73 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
N_Otrigr      23 ita  LC  4 11 14 12 69 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Ushtack     20 fra   R  4  9 13  8 59 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Grodnovr    23 usa   C  5  9 12 14 27 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
R_Ovraecha    24 saf   C  5 12 11  9 33 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Obsoevrog   17 ire   R  4 11  9 12 65 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Candoevro   25 arg  RL  4  9 12 18 61 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Choesh      23 cam   L  4  9 12 16 36 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Udsa        19 usa  LC  4 11  7 14 50 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Grilewcku   28 bra   C  5  9 12 14 45 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Hohe        28 eng RLC  5  9  8 11 26 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

