Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
X_Utoroa      20 usa   R 19  5  3  3 33 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Kruvruanh   21 usa   L 15  3  5  5 27 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Vetr        24 fra  LC 11  3  4  3 70 26 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Prukuck     24 ita   R  5 18 11  9 66 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Tunh        24 spa   R  4 17  7  9 31 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Isust       19 bra   L  3 16  8 12 50 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Chazaesht   20 fra   L  3 15  9  8 47 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
B_Ucloakru    23 den   C  5 15 11 11 67 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Idnoibsedr  28 bul   C  4 14 15 11 65 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
H_Hoocat      17 usa   R  5 13  9  9 46 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Ebsoenhu    27 nor   C  4 13 13  8 43 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Yoayag      17 arg   R  3 12 11 11 62 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Ena         22 spa   C  3 12 12  6 43 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Btesyotr    27 ire   L  5 11 10  9 42 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Abso        23 arg   L  4  8 19  8 52 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
L_Joende      20 ire   R  4 12 18 10 29 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Aposht      20 aus   R  4  8 18  7 47 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Kroirsesyo  19 eng   L  4  8 17  9 41 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Rewbtewtr   23 spa   C  4 11 17  9 52 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Sowsk       23 ire   C  5  9 15  9 51 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Enhablipr   19 ger   L  5  8 15  9 28 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Icack       25 spa   C  4 12 15 10 43 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
S_Etowrtimn   25 fra   R  3  9 14 10 41 23 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Hoemn       20 arg   C  5  8 12 12 31 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Btutunda    25 den   C  4 10 10 11 64 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
A_Yindowvroa  28 hol   C  4  9  6 18 30 39 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Iksabti     26 usa   R  4  9  8 18 49 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Ryowsht     19 isr   L  4  8 12 16 56 25 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
O_Uksoif      20 ger   C  3 10 12 14 31 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Groijisy    23 saf   R  4  7  8 12 59 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

