Name         Age Nat Prs St Tk Ps Sh Sm Ag KAb TAb PAb SAb Gam Sav Ktk Kps Sht Gls Ass  DP Inj Sus Fit
------------------------------------------------------------------------------------------------------
G_Btuase      25 cam   C 18  3  3  3 70 29 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Prukra      18 hol   R 17  3  4  4 36 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Nowvr       22 ire   C 12  4  4  3 51 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Evraebr     20 saf   R  4 19  7  9 71 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
K_Inyiclibt   28 den   C  3 16 10  7 41 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Bresyeds    24 eng   R  5 15  9  8 57 27 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Brevrortoa  19 jap   C  4 14  8 11 64 34 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Rakr        23 cro  RC  5 14 15  7 52 22 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Ebtu        23 usa   C  5 13  7 12 64 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Braelimn    28 eng   L  4 12  9  6 44 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Cuadrotrua  22 isr   R  3 12  9 10 67 31 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
C_Osano       21 isr   R  4 12  8  6 45 28 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Umodsi      26 jap  RC  4 12 12 11 34 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
U_Fers        23 arg   C  4 10 10 12 66 33 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Cumurt      17 saf   C  4 10 19 10 66 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Endeshtor   21 ita   L  5  9 19  8 26 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Jhoblick    23 usa   C  4  8 19  9 55 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Udnu        29 ger   R  4  9 17 11 50 21 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
M_Uhoockebs   24 cam  LC  3  9 14 12 64 35 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
D_Clarte      22 arg RLC  4 12 14 12 67 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
T_Gimn        18 isr   C  5  9 13 12 70 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Y_Shuskuavro  23 ire   R  4 11 13 14 48 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Stoekr      26 usa   R  4  9 12 10 72 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Nenyashtu   26 nor   C  4  9 12  8 35 32 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
W_Shogrunhe   17 usa   R  5  9 12 13 62 38 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
G_Foodsa      28 arg   C  3  7  9 19 64 36 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
P_Trarsip     23 nor   C  3  8  7 17 45 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
E_Kip         29 eng  RC  3  9  7 16 65 37 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
Q_Ashtaeck    20 eng   L  3  6  8 16 57 30 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100
V_Uvrooblow   19 nig   R  5  7  8 15 62 24 300 300 300 300   0   0   0   0   0   0   0   0   0   0 100

